noreg,tanggal_record,plan,aktual,reject,persentase,hadir,keterangan
2604129,2026-05-06,0,239,0,100.0,✔,
2604145,2026-05-07,55,54,2,98.18,✔,Tidak ada
2602003,2026-05-07,45,45,0,100.0,✔,
2602002,2026-05-07,15,18,0,120.0,✔,
2602168,2026-05-07,200,250,0,125.0,✔,Assembling
2602006,2026-05-07,1,124,0,12400.0,✔,
2604144,2026-05-07,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2602007,2026-05-07,0,35,0,100.0,✔,
2603130,2026-05-07,115,250,0,217.39,✔,"amplas galah baret hitam, Laser Marking, Plasma Cutting, burying moving galah uk 6 meter diameter 38 mm (150 pcs) diameter 33 mm (100 pcs)."
2603143,2026-05-07,0,35,0,100.0,✔,
2512091,2026-04-30,0,1,0,100.0,✔,
2512091,2026-05-02,0,1,0,100.0,✔,
2512091,2026-05-05,0,1,0,100.0,✔,
2512091,2026-05-06,20,1,0,5.0,✔,
2512091,2026-05-07,0,1,5,100.0,✔,
2603146,2026-05-06,204,204,0,100.0,✔,"Pengecekan Pasir 
5R Area FBO"
2603146,2026-05-07,49,0,0,0.0,✔,"Pengecekan Pasir 
5R Area Fetling"
2604129,2026-05-07,0,133,4,100.0,✔,
2602003,2026-05-08,40,40,0,100.0,✔,
2601176,2026-05-07,0,0,0,,✔,1. Time management
2511108,2026-05-07,7,7,0,100.0,✔,Repair pattern efata 17A
2511108,2026-05-06,25,18,0,72.0,✔,Belt elevator 1 dan 2 macet; Jam 19.00-20.30 5R area bekas Furan 5 Ton
2511108,2026-05-04,12,12,0,100.0,✔,Belt Elevator 1 macet
2602168,2026-05-08,200,100,0,50.0,✔,"1. Kiriman Barang Panjang
- 8M = 600 pcs
- 6M = 1.000 pcs
- 4M = 500 pcs
2. 5R ada tamu"
2601190,2026-05-07,0,33,0,100.0,✔,TIDAK ADA
2601190,2026-05-08,0,83,0,100.0,✔,TIDAK ADA
2604145,2026-05-08,55,55,0,100.0,✔,0
2602002,2026-05-08,50,58,0,116.0,✔,
2604144,2026-05-08,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2603130,2026-05-08,115,200,0,173.91,✔,"amplas galah baret hitam, Laser Marking, Plasma Cutting, burrying moving galah uk 6 meter diameter 38 mm (50 pcs) diameter 33 mm (150 pcs), packing galah 17 koli."
2601176,2026-05-08,0,0,0,,✔,1. Time management
2603143,2026-05-08,0,30,0,100.0,✔,
2512091,2026-05-08,0,1,0,100.0,✔,
2604145,2026-05-09,55,35,0,63.64,✔,0
2604129,2026-05-08,0,244,1,100.0,✔,
2602168,2026-05-09,200,250,0,125.0,✔,
2601190,2026-05-09,0,53,0,100.0,✔,TIDAK ADA
2603130,2026-05-09,115,100,0,86.96,✔,"amplas galah baret hitam, Laser Marking, Plasma Cutting, burrying moving galah uk 6 meter diameter 38 mm (50 pcs) diameter 33 mm (50 pcs), packing 21 koli, assembly start jam 17.30 - 22.30."
2604144,2026-05-11,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2601176,2026-05-11,0,0,0,,✔,Time management
2603143,2026-05-11,0,16,0,100.0,✔,
2601190,2026-05-11,0,35,0,100.0,✔,
2602168,2026-05-11,0,28,0,100.0,✔,
2603130,2026-05-11,115,250,0,217.39,✔,"amplas galah baret hitam, Laser Marking, Plasma Cutting, burrying moving galah uk 6 meter diameter 38 mm (150 pcs) diameter 33 mm (100 pcs), assembly."
2602006,2026-05-10,3,70,0,2333.33,✔,
2602006,2026-05-11,3,60,0,2000.0,✔,
2601114,2026-05-11,0,17,0,100.0,✔,
2603146,2026-05-08,0,0,0,,✔,Pengecekan Pasir
2603146,2026-05-11,56,56,0,100.0,✔,Pengecekan Pasir
2601176,2026-05-12,0,0,0,,✔,Time management
2602002,2026-05-11,20,24,0,120.0,✔,
2603130,2026-05-12,115,250,0,217.39,✔,"amplas galah baret hitam, Laser Marking, Plasma Cutting, burrying moving galah uk 6 meter diameter 38 mm (100 pcs) diameter 33 mm (150 pcs), assembly."
2604144,2026-05-12,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2603143,2026-05-12,0,45,0,100.0,✔,
2601190,2026-05-12,0,20,0,100.0,✔,
2602168,2026-05-12,0,24,0,100.0,✔,
2602006,2026-05-12,3,208,10,6933.33,✔,
2602002,2026-05-12,15,20,0,133.33,✔,
2603146,2026-05-12,199,0,0,0.0,✔,Pengecekan Pasir
2603146,2026-05-13,180,155,27,86.11,✔,"Pengecekan Pasir 
Cek Core"
2603130,2026-05-13,115,200,0,173.91,✔,"amplas galah baret hitam sebelum proses, Laser Marking, Plasma Cutting, burrying moving galah uk 6 meter diameter 38 mm (100 pcs) diameter 33 mm (100 pcs), assembly, repair produksi lama sebelum diproses (50 pcs) ."
2601190,2026-05-13,0,58,0,100.0,✔,
2601176,2026-05-13,0,0,0,,✔,Time management
2602168,2026-05-13,0,35,0,100.0,✔,
2604144,2026-05-13,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2602002,2026-05-13,30,54,0,180.0,✔,
2601176,2026-05-14,0,0,0,,✔,Time management
2512090,2026-05-14,0,71,0,100.0,✔,tidak ada
2602168,2026-05-14,0,39,0,100.0,✔,
2603130,2026-05-14,115,220,0,191.3,✔,"amplas galah baret hitam sebelum proses, Laser Marking, Plasma Cutting, burrying moving galah uk 6 meter diameter 38 mm (120 pcs) diameter 33 mm (100 pcs), assembly."
2602168,2026-05-15,0,57,0,100.0,✔,
2602002,2026-05-14,20,33,0,165.0,✔,
2602002,2026-05-15,0,2,0,100.0,✔,
2604144,2026-05-14,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2604144,2026-05-15,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX.
6. Membuat jadwal produksi"
2603146,2026-05-15,128,128,0,100.0,✔,Pengecekan Pasir
2601190,2026-05-15,0,80,0,100.0,✔,
2603143,2026-05-18,0,20,0,100.0,✔,
2603130,2026-05-15,115,150,0,130.43,✔,"amplas galah baret hitam sebelum proses, Laser Marking, Plasma Cutting, burrying moving galah uk 6 meter diameter 38 mm (50 pcs) diameter 33 mm (50 pcs), 4 meter diameter 33 mm (50 pcs), assembly."
2603131,2026-05-02,0,0,0,,✔,Dril mengalami kerusakan dan harus di lakukan pembetulan di maintance
2603131,2026-05-03,0,0,0,,✔,
2603131,2026-05-04,0,0,0,,✔,drill mengalami kendala mati
2603131,2026-05-06,0,0,0,,✔,
2603131,2026-05-07,0,0,0,,✔,
2605047,2026-05-17,15,13,0,86.67,✔,Tidak ada
2603131,2026-05-08,0,0,0,,✔,
2603131,2026-05-11,0,0,0,,✔,
2603131,2026-05-12,0,0,0,,✔,
2603131,2026-05-13,0,0,0,,✔,
2603131,2026-05-14,0,0,0,,✔,
2603131,2026-05-18,0,0,0,,✔,
2602168,2026-05-18,200,250,0,125.0,✔,
2603146,2026-05-18,181,181,0,100.0,✔,Pengecekan Pasir
2605033,2026-05-18,60,60,0,100.0,✔,tidak ada
2605018,2026-05-18,30,30,0,100.0,✔,Tidak ada
2601176,2026-05-18,0,0,0,,✔,Time management
2605012,2026-05-18,60,60,0,100.0,✔,Tidak ada
2605043,2026-05-18,15,15,1,100.0,✔,maintenance
2602002,2026-05-18,20,23,0,115.0,✔,2
2603130,2026-05-18,115,250,0,217.39,✔,"amplas galah baret hitam sebelum proses, Laser Marking, Plasma Cutting, burrying moving galah uk 4 meter diameter 38 mm (150 pcs) diameter 33 mm (100 pcs), packing wrapping, assembly."
2605044,2026-05-18,0,84,2,100.0,✔,tidak ada
2605045,2026-05-18,42,84,43,200.0,✔,Tidak ada; tidak ada
2605039,2026-05-18,42,42,1,100.0,✔,Tidak ada
2605042,2026-05-17,0,20,0,100.0,✔,
2605046,2026-05-18,0,25,0,100.0,✔,tidak ada
2603143,2026-05-19,0,12,0,100.0,✔,
2605047,2026-05-18,15,32,0,213.33,✔,Tidak ada
2605011,2026-05-17,51,51,0,100.0,✔,Belum terbiasa awalan sering mengantuk
2605040,2026-05-18,0,27,0,100.0,✔,grinding burry
2605011,2026-05-18,140,140,2,100.0,✔,Tidak ada
2605033,2026-05-19,80,80,0,100.0,✔,tidak ada kendala
2602168,2026-05-19,200,200,0,100.0,✔,
2605043,2026-05-19,15,15,0,100.0,✔,maintenance
2601176,2026-05-19,0,0,0,,✔,Time management
2605018,2026-05-19,50,50,0,100.0,✔,Tindak ada
2605012,2026-05-19,80,80,0,100.0,✔,Tidak ada
2604144,2026-05-18,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX.
6. Mendaftarkan dokumen baru"
2604144,2026-05-19,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2605039,2026-05-19,33,33,0,100.0,✔,Tidak ada
2605044,2026-05-19,0,10,0,100.0,✔,tidak ada
2605045,2026-05-19,10,20,0,200.0,✔,tidak ada
2605046,2026-05-19,0,76,0,100.0,✔,tidak ada
2605041,2026-05-18,120,120,0,100.0,✔,shotblast
2603130,2026-05-19,115,220,0,191.3,✔,"amplas galah baret hitam sebelum proses, Laser Marking, Plasma Cutting, burrying moving galah uk 4 meter diameter 38 mm (150 pcs) diameter 33 mm (70 pcs), packing wrapping 17 koli."
2603146,2026-05-19,150,115,8,76.67,✔,Pengecekan Pasir
2601190,2026-05-19,0,36,0,100.0,✔,
2602006,2026-05-19,45,38,0,84.44,✔,
2602002,2026-05-19,20,41,0,205.0,✔,
2605041,2026-05-19,100,100,0,100.0,✔,maintenance
2605042,2026-05-19,0,20,0,100.0,✔,
2605042,2026-05-20,0,51,0,100.0,✔,
2605011,2026-05-19,72,72,0,100.0,✔,Kekurangan cairan etanol
2605047,2026-05-19,20,34,0,170.0,✔,Tidak ada
2601190,2026-05-20,0,31,0,100.0,✔,
2602168,2026-05-20,200,230,0,115.0,✔,1. Kiriman 6M=500 PCS
2605033,2026-05-20,10,10,0,100.0,✔,maintenance
2605040,2026-05-19,0,42,0,100.0,✔,
2605012,2026-05-20,21,21,0,100.0,✔,Tidak ada
2605043,2026-05-20,15,15,0,100.0,✔,maintenance
2604144,2026-05-20,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX.
6. Membuat MPF untuk kelebihan dan pengambilan jam produksi"
2601176,2026-05-20,0,0,0,,✔,Time management
2605018,2026-05-20,210,210,0,100.0,✔,Tidak ada
2603130,2026-05-20,115,200,0,173.91,✔,"amplas galah baret hitam sebelum proses, Laser Marking, Plasma Cutting, burrying moving galah uk 6 meter diameter 38 mm (160 pcs) diameter 33 mm (40 pcs)."
2605044,2026-05-20,0,15,0,100.0,✔,tidak ada
2605046,2026-05-20,0,8,1,100.0,✔,tidak ada
2605045,2026-05-20,0,16,0,100.0,✔,tidak ada
2605039,2026-05-20,32,32,0,100.0,✔,Tidak ada
2603143,2026-05-21,0,26,0,100.0,✔,
2605011,2026-05-20,138,138,1,100.0,✔,Tidak ada
2602006,2026-05-20,160,163,0,101.88,✔,Pergantian corebox braket spring
2605041,2026-05-20,163,163,0,100.0,✔,
2603131,2026-05-19,0,0,0,,✔,Dril mengalami kendala mati
2603131,2026-05-20,0,0,0,,✔,
2603131,2026-05-21,0,0,0,,✔,Drill mengalami rusak dan kendala mati terus
2602168,2026-05-21,0,35,0,100.0,✔,"1. Kiriman 4M 600 PCS
2. Assembling 
3. Mengamplas barang karat 6M"
2602002,2026-05-20,25,29,0,116.0,✔,
2602002,2026-05-21,25,20,0,80.0,✔,
2605012,2026-05-21,33,33,0,100.0,✔,Tidak ada kendala
2601190,2026-05-21,0,5,0,100.0,✔,bantu packing
2605033,2026-05-21,20,20,0,100.0,✔,maintenance
2603146,2026-05-20,123,121,2,98.37,✔,Pengecekan Pasir
2604144,2026-05-21,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2605043,2026-05-21,15,15,0,100.0,✔,
2605047,2026-05-20,30,35,0,116.67,✔,Tidak ada
2605018,2026-05-21,121,121,0,100.0,✔,Tidak ada
2602006,2026-05-21,170,169,0,99.41,✔,
2605044,2026-05-21,0,29,0,100.0,✔,tidak ada
2605045,2026-05-21,0,29,0,100.0,✔,tidak ada
2605046,2026-05-21,0,20,1,100.0,✔,tidak ada
2605039,2026-05-21,29,29,0,100.0,✔,Tidak ada
2605041,2026-05-21,66,66,0,100.0,✔,
2603146,2026-05-21,136,133,3,97.79,✔,"Pengecekan Pasir
Tidak ikut trial oring karna pada waktu istirahat 
Air spray BC 2 mati"
2605040,2026-05-21,0,46,0,100.0,✔,
2602168,2026-05-22,0,111,0,100.0,✔,1.Ripper
2603131,2026-05-22,0,0,0,,✔,Kendala dril bolak balik mati dan carbon brush nya drill habis gada stock di sperpat
2601190,2026-05-22,0,15,0,100.0,✔,pindah ke packing
2605033,2026-05-22,50,50,0,100.0,✔,maintenance
2605043,2026-05-22,15,15,0,100.0,✔,
2601176,2026-05-22,0,0,0,,✔,Time management
2604144,2026-05-22,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX.
6. Membuat jadwal produksi"
2605012,2026-05-22,50,50,0,100.0,✔,Tidak ada
2605018,2026-05-22,13,13,0,100.0,✔,Tidak ada
2603130,2026-05-21,115,147,0,127.83,✔,"amplas galah baret hitam sebelum proses, Laser Marking, Plasma Cutting, burrying moving galah uk 4 meter diameter 38 mm (63 pcs) diameter 33 mm (84 pcs)."
2605047,2026-05-21,0,40,0,100.0,✔,Tidak ada
2603130,2026-05-22,115,120,0,104.35,✔,"packing set D38 D33 4M (12 KOLI), packing set D38 D33 6M (108 KOLI), MENATA FGS."
2605045,2026-05-22,0,43,0,100.0,✔,tidak ada
2605044,2026-05-22,0,12,0,100.0,✔,tidak ada
2605046,2026-05-22,0,36,0,100.0,✔,tidak ada
2605039,2026-05-22,18,18,0,100.0,✔,Tidak ada
2605041,2026-05-22,93,91,2,97.85,✔,maintenance
2605047,2026-05-22,0,14,0,100.0,✔,Tidak ada
2605040,2026-05-22,0,14,0,100.0,✔,
2602168,2026-05-23,0,28,0,100.0,✔,"1. Assembling 
2. Mengamplas barang karat
3. Ripper"
2605033,2026-05-23,7,7,0,100.0,✔,tidak ada
2601176,2026-05-23,0,0,0,,✔,Time management
2605011,2026-05-21,40,40,2,100.0,✔,Tidak ada
2605011,2026-05-22,7,7,2,100.0,✔,Tidak ada
2602006,2026-05-22,35,36,1,102.86,✔,
2602006,2026-05-23,0,29,0,100.0,✔,
2601190,2026-05-23,0,26,0,100.0,✔,
2605043,2026-05-23,15,15,0,100.0,✔,fan belt lepas
2605012,2026-05-23,7,7,0,100.0,✔,Tidak ada masalah
2605018,2026-05-23,137,137,0,100.0,✔,Tidak ada
2605045,2026-05-23,0,16,0,100.0,✔,tidak ada
2603146,2026-05-22,125,121,4,96.8,✔,"Pengecekan Pasir
Pasir di sand tank habis perlu stock baru di warehouse"
2605044,2026-05-23,0,20,0,100.0,✔,tidak ada
2605046,2026-05-23,0,0,0,,✔,tidak ada
2605042,2026-05-21,46,46,0,100.0,✔,
2605042,2026-05-22,0,14,0,100.0,✔,
2603130,2026-05-23,115,90,0,78.26,✔,potong material yang NG 90 pcs.
2602002,2026-05-22,10,14,0,140.0,✔,
2602002,2026-05-23,0,6,1,100.0,✔,
2602002,2026-05-25,25,26,0,104.0,✔,
2605033,2026-05-25,26,26,0,100.0,✔,tidak ada
2605018,2026-05-25,170,170,0,100.0,✔,Tidak ada
2605012,2026-05-25,26,26,0,100.0,✔,Tidak ada
2605039,2026-05-23,6,6,0,100.0,✔,Tidak ada
2605045,2026-05-25,0,6,0,100.0,✔,tidak ada
2603130,2026-05-25,148,225,2,152.03,✔,"Potong material yang NG 92 PCS, plasma cutting, burrying moving D33 (50 pcs) D38 (50 pcs), packing set D33/D38 4 meter (13 koli)."
2605044,2026-05-25,24,24,0,100.0,✔,tidak ada
2605046,2026-05-25,0,18,1,100.0,✔,tidak ada
2605039,2026-05-25,39,39,0,100.0,✔,Tidak ada
2602006,2026-05-25,120,132,6,110.0,✔,
2601190,2026-05-25,0,92,0,100.0,✔,tidak ada
2604144,2026-05-25,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX.
6. Melakukan update Man Power"
2603146,2026-05-25,45,45,0,100.0,✔,"Pengecekan Pasir
Perbantuan area Mixer

Kendala downtime karna 33pcs moulding batal pouring yg harusnya OK di NG sama SPV Maintenance terkait visual (Harusnya OK sudah di cek by Pak Muhtadin)"
2601176,2026-05-25,0,0,0,,✔,Time management
2605041,2026-05-25,61,61,0,100.0,✔,
2603131,2026-05-25,0,0,0,,✔,"melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu melakukan pemindahan ladle ke burner dengan menggunakan forklift,sehabis ngeburner ladle lalu membuat stik aluminium sebanyak 20 stik dan memotong beton neser buat stik slag"
2603155,2026-05-25,0,0,0,,✔,"Daily Report Maintenance
Ayu Agustina
25-5-2026
Admin Maintenance
1. Membersihkan area sekitar
2. Stok opname tiap akhir bulan
3. menerima barang masuk
4. out barang keluar"
2602168,2026-05-25,200,195,0,97.5,✔,Gosok barang karat
2603143,2026-05-25,0,5,0,100.0,✔,
2605011,2026-05-25,99,99,5,100.0,✔,Tidak ada
2605043,2026-05-25,70,70,0,100.0,✔,
2605047,2026-05-25,14,14,0,100.0,✔,tidak ada kendala
2605012,2026-05-26,30,30,0,100.0,✔,Tidak ada
2605033,2026-05-26,30,30,0,100.0,✔,tidak ada
2605045,2026-05-26,0,1,0,100.0,✔,tidak ada
2605044,2026-05-26,0,27,0,100.0,✔,tidak ada
2605046,2026-05-26,0,75,0,100.0,✔,tidak ada
2605039,2026-05-26,35,35,0,100.0,✔,Tidak ada
2601190,2026-05-26,0,56,0,100.0,✔,
2605041,2026-05-26,46,46,0,100.0,✔,maintenance
2604144,2026-05-26,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX."
2603130,2026-05-26,115,40,0,34.78,✔,"Laser marking, plasma cutting, burrying moving D38 6 meter (40 pcs), full assembly, gosok material karat dan repair NG, packing set D38/D33 4m, 6m, 7m (6, 14, 1 pcs)."
2601176,2026-05-26,0,0,0,,✔,Time management
2603131,2026-05-26,0,0,0,,✔,"melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu melakukan pemindahan ladle ke burner dengan menggunakan forklift sehabis ngeburner ladle fcd membuat canting sebanyak 5"
2605011,2026-05-26,24,24,4,100.0,✔,Tidak ada
2602168,2026-05-26,0,18,0,100.0,✔,"1. Assembling 
2. Memotong almunium disuruh Pak Wira
3. Mengecek sebelum di assembling
4. Menggosok barang karat"
2605047,2026-05-26,14,14,0,100.0,✔,Tidak ada
2605040,2026-05-26,5,5,0,100.0,✔,tidak ada
2605040,2026-05-27,28,14,0,50.0,✔,
2603143,2026-05-26,39,49,0,125.64,✔,
2605042,2026-05-25,0,10,0,100.0,✔,
2605042,2026-05-26,0,18,0,100.0,✔,
2605018,2026-05-26,121,121,0,100.0,✔,Tidak ada
2602006,2026-05-26,0,32,0,100.0,✔,
2602002,2026-05-28,15,20,0,133.33,✔,
2605012,2026-05-28,12,12,0,100.0,✔,Tidak ada
